roll : -3.11715804406, pitch : -0.0532325421858, yaw : -0.365821011218
roll : -3.11733257699, pitch : -0.0532325421858, yaw : -0.365821011218
roll : -3.11733257699, pitch : -0.0528834763354, yaw : -0.365821011218
roll : -3.11820524161, pitch : -0.0514872129338, yaw : -0.365821011218
roll : -3.11977603794, pitch : -0.0492182849062, yaw : -0.365646478293
roll : -3.12099776842, pitch : -0.0486946861306, yaw : -0.365646478293
roll : -3.12221949889, pitch : -0.047298422729, yaw : -0.365646478293
roll : -3.12274309767, pitch : -0.0459021593275, yaw : -0.365646478293
roll : -3.12326669644, pitch : -0.0450294947015, yaw : -0.365471945368
roll : -3.12344122937, pitch : -0.0457276264023, yaw : -0.365471945368
roll : -3.12379029522, pitch : -0.0450294947015, yaw : -0.365646478293
roll : -3.124313894, pitch : -0.0457276264023, yaw : -0.365646478293
roll : -3.12448842692, pitch : -0.0462512251778, yaw : -0.365122879517
roll : -3.12396482814, pitch : -0.0446804288511, yaw : -0.36320301734
roll : -3.12728095372, pitch : -0.0326376570123, yaw : -0.360759556387
roll : -3.13705479753, pitch : -0.0179768912955, yaw : -0.35849062836
roll : 3.12396482814, pitch : -0.0162315620435, yaw : -0.362679418564
roll : 3.12117230134, pitch : -0.00855211333477, yaw : -0.371056998974
roll : 3.12448842692, pitch : 0.0181514242207, yaw : -0.369835268498
roll : 3.11942697209, pitch : 0.0561996019142, yaw : -0.369486202647
roll : 3.1264082891, pitch : 0.0905825881785, yaw : -0.372802328226
roll : 3.12972441468, pitch : 0.103672557568, yaw : -0.37664205258
roll : -3.13845106094, pitch : 0.0945968454581, yaw : -0.378212848907
roll : -3.1028463442, pitch : 0.0762708883122, yaw : -0.375071256254
roll : -3.06584536405, pitch : 0.0651007810994, yaw : -0.372802328226
roll : -3.03425490459, pitch : 0.0740019602846, yaw : -0.373500459927
roll : -2.99533406227, pitch : 0.0898844564777, yaw : -0.379085513533
roll : -2.95030456757, pitch : 0.0961676417849, yaw : -0.384845100065
roll : -2.909638396, pitch : 0.0902335223281, yaw : -0.384321501289
roll : -2.86617969763, pitch : 0.0774926187885, yaw : -0.380830842785
roll : -2.83092404673, pitch : 0.0635299847726, yaw : -0.377863783057
